t,x,y,th,v,omega,acc,gamma

0,10,90,0.40661,4.3061,0.057051,0.40483,-0.00016834
0.1,10.199,89.979,0.38143,4.2649,0.057315,0.41212,-0.00016912
0.2,10.398,89.958,0.39058,4.3257,-0.02083,-0.60799,0.050127
0.3,10.597,89.936,0.039537,4.4234,0.79906,-0.97727,-0.52593
0.4,10.796,89.915,0.28,4.4595,-0.54735,-0.36069,0.86367
0.5,10.994,89.894,0.36129,4.4796,-0.18503,-0.20078,-0.23241
0.6,11.193,89.873,0.27814,4.3825,0.18927,0.97127,-0.2401
0.7,11.392,89.852,0.40051,4.314,-0.27854,0.68498,0.30008
0.8,11.591,89.831,0.30536,4.2712,0.21658,0.42732,-0.3176
0.9,11.79,89.809,0.41437,4.3422,-0.24813,-0.7094,0.29809
1,11.989,89.788,0.42093,4.3393,-0.014928,0.029002,-0.14959
1.1,12.188,89.767,0.047372,4.3901,0.8503,-0.50861,-0.55501
1.2,12.387,89.746,0.069547,4.3466,-0.050476,0.43476,0.57782
1.3,12.585,89.725,0.38914,4.3194,-0.72746,0.27286,0.43426
1.4,12.784,89.703,0.2377,4.4152,0.3447,-0.9583,-0.68775
1.5,12.983,89.682,0.044014,4.5059,0.44088,-0.90712,-0.061696
1.6,13.182,89.661,0.46719,4.5538,-0.96323,-0.47926,0.90069
1.7,13.381,89.64,0.38469,4.6528,0.18777,-0.98973,-0.73833
1.8,13.58,89.619,0.18018,4.5723,0.46552,0.80516,-0.17816
1.9,13.779,89.598,0.29092,4.6387,-0.25207,-0.66438,0.46031
2,13.978,89.576,0.032641,4.6109,0.58789,0.27866,-0.5388
2.1,14.176,89.555,0.076223,4.7062,-0.099204,-0.95338,0.44075
2.2,14.375,89.534,0.41812,4.7153,-0.77824,-0.090828,0.43558
2.3,14.574,89.513,0.21111,4.6673,0.47122,0.48014,-0.80149
2.4,14.773,89.492,0.35427,4.7118,-0.32588,-0.44584,0.51131
2.5,14.972,89.471,0.00071209,4.7533,0.80478,-0.41468,-0.72528
2.6,15.171,89.449,0.12357,4.7443,-0.27966,0.090529,0.69563
2.7,15.37,89.428,0.13199,4.6606,-0.019166,0.83673,-0.1671
2.8,15.569,89.407,0.44257,4.6612,-0.70694,-0.0058152,0.44118
2.9,15.767,89.386,0.031125,4.5756,0.93653,0.85566,-1.0542
3,15.966,89.365,0.25905,4.6194,-0.51881,-0.4375,0.93355
3.1,16.165,89.343,0.401,4.5858,-0.3231,0.33522,-0.12554
3.2,16.364,89.322,0.22921,4.5431,0.39104,0.42721,-0.4581
3.3,16.563,89.301,0.36744,4.4826,-0.31466,0.60559,0.45268
3.4,16.762,89.28,0.39011,4.4457,-0.051601,0.36863,-0.16874
3.5,16.961,89.259,0.15207,4.4731,0.54184,-0.27448,-0.38067
3.6,17.16,89.238,0.18495,4.394,-0.074834,0.79129,0.39557
3.7,17.358,89.216,0.14074,4.3038,0.10063,0.90171,-0.11255
3.8,17.557,89.195,0.19518,4.3997,-0.12391,-0.95826,0.14403
3.9,17.756,89.174,0.4347,4.4176,-0.54521,-0.1789,0.27024
4,17.955,89.153,0.074347,4.3257,0.82024,0.91881,-0.87589
4.1,18.154,89.132,0.25028,4.3456,-0.40047,-0.19918,0.78305
4.2,18.353,89.11,0.44922,4.3081,-0.45282,0.37477,0.033582
4.3,18.552,89.089,0.059667,4.3675,0.88671,-0.59351,-0.85927
4.4,18.751,89.068,0.062739,4.3073,-0.006994,0.6017,0.57328
4.5,18.949,89.047,0.35038,4.3327,-0.65473,-0.25417,0.4155
4.6,19.148,89.026,0.0037746,4.236,0.78895,0.96671,-0.92607
4.7,19.347,89.005,0.14993,4.1425,-0.33268,0.93535,0.71949
4.8,19.546,88.983,0.24164,4.0489,-0.20875,0.93607,-0.079501
4.9,19.745,88.962,0.15201,3.998,0.20401,0.50894,-0.26477
5,19.944,88.941,0.39756,4.0572,-0.55892,-0.59176,0.48939
5.1,20.139,88.983,0.069137,4.0592,0.74756,-0.019828,-0.83806
5.2,20.335,89.026,0.46906,3.9711,-0.9103,0.88071,1.0635
5.3,20.53,89.068,0.19315,3.8999,0.62803,0.71196,-0.98678
5.4,20.726,89.11,0.20957,3.8706,-0.037386,0.2929,0.42684
5.5,20.921,89.153,0.039386,3.8085,0.38738,0.62125,-0.27247
5.6,21.117,89.195,0.098017,3.7775,-0.13346,0.30972,0.3341
5.7,21.312,89.237,0.16204,3.842,-0.14572,-0.64525,0.0078677
5.8,21.508,89.28,0.41961,3.7564,-0.5863,0.85674,0.28262
5.9,21.703,89.322,0.022161,3.7571,0.90468,-0.0075258,-0.95641
6,21.898,89.364,0.12403,3.8057,-0.23188,-0.48627,0.72907
6.1,22.094,89.407,0.1684,3.8315,-0.10099,-0.25797,-0.083962
6.2,22.289,89.449,0.21077,3.7747,-0.096435,0.5679,-0.0029223
6.3,22.485,89.491,0.03315,3.6887,0.40429,0.86057,-0.3212
